Yr	Crs No	Section	Current Enrlmnt	Percentageof Enrollment	Limit/Est Enrlmnt	Start Time	End Time
2018	307	C 	31	88.57142857	35	1200	100
2009	307	A 	27	90	30	940	1040
2015	307	C 	27	90	30	1200	100
2014	307	B 	32	91.42857143	35	1050	1150
2014	307	C 	32	91.42857143	35	1200	100
2016	307	C 	32	91.42857143	35	1200	100
2017	307	B 	32	91.42857143	35	1050	1150
2018	307	B 	32	91.42857143	35	1050	1150
2015	307	B 	28	93.33333333	30	1050	1150
2013	307	A 	33	94.28571429	35	940	1040
2016	307	A 	33	94.28571429	35	940	1040
2008	308	E 	13	37.14285714	35	110	210
2017	308	F 	14	40	35	1050	100
2016	308	E 	15	42.85714286	35	940	1150
2014	308	B 	16	45.71428571	35	940	1040
2017	308	E 	16	45.71428571	35	940	1150
2013	308	C 	15	50	30	1050	1150
2015	308	F 	15	50	30	1050	100
2012	308	B 	18	51.42857143	35	940	1040
2014	308	C 	18	51.42857143	35	1050	1150
2016	308	F 	18	51.42857143	35	1050	100
2008	308	B 	19	54.28571429	35	940	1040
2010	308	D 	19	54.28571429	35	1200	100
2009	308	E 	16	59.25925926	27	110	210
2011	308	C 	18	60	30	1050	1150
2013	308	B 	21	60	35	940	1040
2018	308	E 	21	60	35	940	1150
2008	308	A 	22	62.85714286	35	220	320
2008	308	C 	22	62.85714286	35	1050	1150
2012	308	C 	22	62.85714286	35	1050	1150
2010	308	B 	23	65.71428571	35	940	1040
2018	308	F 	23	65.71428571	35	1050	100
2010	308	E 	24	68.57142857	35	110	210
2011	308	B 	21	70	30	940	1040
2015	308	C 	21	70	30	1050	1150
2016	308	B 	25	71.42857143	35	940	1040
2015	308	E 	22	73.33333333	30	940	1150
2009	308	D 	20	74.07407407	27	1200	100
2009	308	F 	20	74.07407407	27	1050	1150
2008	308	D 	26	74.28571429	35	1200	100
2010	308	A 	26	74.28571429	35	220	320
2011	308	A 	23	76.66666667	30	220	320
2011	308	E 	23	76.66666667	30	110	210
2010	308	C 	27	77.14285714	35	1050	1150
2009	308	A 	21	77.77777778	27	220	320
2009	308	C 	20	80	25	1050	1150
2014	308	E 	28	80	35	110	210
2017	308	C 	28	80	35	1050	1150
2018	308	B 	28	80	35	940	1040
2013	308	A 	29	82.85714286	35	220	320
2016	308	A 	29	82.85714286	35	220	320
2017	308	B 	29	82.85714286	35	940	1040
2011	308	D 	25	83.33333333	30	1200	100
2015	308	B 	25	83.33333333	30	940	1040
2012	308	E 	30	85.71428571	35	110	210
2014	308	A 	30	85.71428571	35	220	320
2016	308	C 	30	85.71428571	35	1050	1150
2011	308	F 	26	86.66666667	30	1050	1150
2014	308	D 	31	88.57142857	35	1200	100
2009	308	B 	24	88.88888889	27	940	1040
2015	308	D 	27	90	30	1200	100
2013	308	F 	32	91.42857143	35	1050	1150
2018	308	D 	32	91.42857143	35	1200	100
2016	308	D 	37	92.5	40	1200	100
2015	308	A 	28	93.33333333	30	220	320
2013	308	E 	33	94.28571429	35	110	210
2017	308	A 	33	94.28571429	35	220	320
2018	308	A 	33	94.28571429	35	220	320
2018	308	C 	33	94.28571429	35	1050	1150
2012	308	D 	38	95	40	1200	100
2017	308	D 	34	97.14285714	35	1200	100
2013	308	D 	35	100	35	1200	100
2018	309	C 	10	28.57142857	35	1050	1150
2012	309	A 	12	34.28571429	35	940	1040
2014	309	A 	12	34.28571429	35	940	1040
2017	309	C 	13	37.14285714	35	1050	1150
2016	309	A 	14	40	35	940	1040
2013	309	D 	16	45.71428571	35	1200	100
2014	309	D 	17	48.57142857	35	1200	100
2015	309	B 	16	53.33333333	30	1200	100
2013	309	A 	19	54.28571429	35	940	1040
2016	309	C 	19	54.28571429	35	1050	1150
2010	309	B 	20	57.14285714	35	1200	100
2010	309	A 	21	60	35	940	1040
2011	309	A 	21	60	35	940	1040
2017	309	A 	22	62.85714286	35	940	1040
2015	309	A 	19	63.33333333	30	940	1040
2011	309	C 	23	65.71428571	35	1050	1150
2012	309	B 	23	65.71428571	35	1200	100
2008	309	A 	24	68.57142857	35	940	1040
2014	309	B 	24	68.57142857	35	1200	100
2012	309	D 	25	71.42857143	35	1200	100
2014	309	C 	25	71.42857143	35	1050	1150
2018	309	A 	26	74.28571429	35	940	1040
2012	309	C 	28	80	35	1050	1150
2013	309	C 	28	80	35	1050	1150
2016	309	B 	28	80	35	1200	100
2009	309	A 	29	82.85714286	35	940	1040
2013	309	B 	29	82.85714286	35	1200	100
2017	309	B 	29	82.85714286	35	1200	100
2018	309	B 	29	82.85714286	35	1200	100
2015	309	D 	26	86.66666667	30	1200	100
2011	309	B 	33	94.28571429	35	1200	100
2016	324	B 	8	22.85714286	35	1050	1150
2008	324	B 	12	34.28571429	35	1050	1150
2008	324	D 	12	34.28571429	35	110	210
2008	324	A 	14	40	35	940	1040
2009	324	D 	17	48.57142857	35	110	210
2010	324	A 	19	54.28571429	35	940	1040
2012	324	A 	20	57.14285714	35	940	1040
2009	324	B 	21	60	35	1050	1150
2015	324	B 	18	60	30	1050	1150
2015	324	D 	18	60	30	110	210
2018	324	D 	21	60	35	110	210
2011	324	D 	22	62.85714286	35	110	210
2014	324	D 	19	63.33333333	30	110	210
2009	324	A 	23	65.71428571	35	940	1040
2016	324	A 	23	65.71428571	35	940	1040
2016	324	C 	23	65.71428571	35	1200	100
2018	324	C 	23	65.71428571	35	1200	100
2015	324	A 	21	70	30	940	1040
2008	324	C 	25	71.42857143	35	1200	100
2011	324	A 	25	71.42857143	35	940	1040
2011	324	B 	25	71.42857143	35	1050	1150
2013	324	B 	25	71.42857143	35	1050	1150
2017	324	A 	25	71.42857143	35	940	1040
2017	324	C 	25	71.42857143	35	1200	100
2009	324	C 	26	74.28571429	35	1200	100
2011	324	C 	26	74.28571429	35	1200	100
2014	324	C 	23	76.66666667	30	1200	100
2010	324	B 	27	77.14285714	35	1050	1150
2012	324	C 	27	77.14285714	35	1200	100
2014	324	B 	24	80	30	1050	1150
2012	324	B 	29	82.85714286	35	1050	1150
2013	324	A 	29	82.85714286	35	940	1040
2016	324	D 	29	82.85714286	35	110	210
2017	324	D 	29	82.85714286	35	110	210
2018	324	A 	29	82.85714286	35	940	1040
2014	324	A 	25	83.33333333	30	940	1040
2010	324	C 	30	85.71428571	35	1200	100
2010	324	D 	30	85.71428571	35	110	210
2012	324	D 	30	85.71428571	35	110	210
2013	324	C 	30	85.71428571	35	1200	100
2013	324	D 	33	94.28571429	35	110	210
2015	324	C 	30	100	30	1200	100
						0	100
