Yr,Crs No,Section,Current Enrlmnt,Percentageof Enrollment,Limit/Est Enrlmnt,Start Time
2008,307,A ,29,82.85714285714286,35,940
2008,307,B ,27,77.14285714285714,35,1050
2008,307,C ,23,65.71428571428571,35,1200
2009,307,A ,27,90.0,30,940
2009,307,B ,25,83.33333333333333,30,1050
2009,307,C ,26,86.66666666666667,30,1200
2009,307,E ,23,76.66666666666667,30,940
2010,307,A ,22,88.0,25,940
2010,307,B ,26,74.28571428571429,35,1050
2010,307,C ,29,82.85714285714286,35,1200
2010,307,E ,18,72.0,25,940
2011,307,A ,27,77.14285714285714,35,940
2011,307,B ,27,77.14285714285714,35,1050
2011,307,C ,26,74.28571428571429,35,1200
2011,307,D ,30,85.71428571428571,35,110
2011,307,E ,26,74.28571428571429,35,940
2012,307,A ,35,87.5,40,940
2012,307,B ,34,85.0,40,1050
2012,307,C ,31,88.57142857142857,35,1200
2012,307,D ,29,82.85714285714286,35,110
2012,307,E ,18,51.42857142857143,35,940
2013,307,A ,33,94.28571428571429,35,940
2013,307,B ,28,80.0,35,1050
2013,307,C ,27,77.14285714285714,35,1200
2013,307,D ,29,82.85714285714286,35,110
2013,307,E ,27,77.14285714285714,35,940
2014,307,A ,24,68.57142857142857,35,940
2014,307,B ,32,91.42857142857143,35,1050
2014,307,C ,32,91.42857142857143,35,1200
2014,307,D ,31,88.57142857142857,35,110
2014,307,E ,25,71.42857142857143,35,940
2015,307,A ,17,56.666666666666664,30,940
2015,307,B ,28,93.33333333333333,30,1050
2015,307,C ,27,90.0,30,1200
2015,307,D ,25,83.33333333333333,30,110
2015,307,E ,18,60.0,30,940
2015,307,F ,25,83.33333333333333,30,1050
2016,307,A ,33,94.28571428571429,35,940
2016,307,B ,27,77.14285714285714,35,1050
2016,307,C ,32,91.42857142857143,35,1200
2016,307,D ,28,80.0,35,110
2016,307,E ,13,37.142857142857146,35,940
2017,307,A ,26,74.28571428571429,35,940
2017,307,B ,32,91.42857142857143,35,1050
2017,307,C ,31,88.57142857142857,35,1200
2017,307,D ,29,82.85714285714286,35,110
2017,307,E ,20,57.142857142857146,35,940
2017,307,F ,16,45.714285714285715,35,1050
2018,307,A ,29,82.85714285714286,35,940
2018,307,B ,32,91.42857142857143,35,1050
2018,307,C ,31,88.57142857142857,35,1200
2018,307,D ,27,77.14285714285714,35,110
2018,307,E ,24,68.57142857142857,35,940
2018,307,F ,16,45.714285714285715,35,1050
2008,308,A ,22,62.857142857142854,35,220
2008,308,B ,19,54.285714285714285,35,940
2008,308,C ,22,62.857142857142854,35,1050
2008,308,D ,26,74.28571428571429,35,1200
2008,308,E ,13,37.142857142857146,35,110
2009,308,A ,21,77.77777777777777,27,220
2009,308,B ,24,88.88888888888889,27,940
2009,308,C ,20,80.0,25,1050
2009,308,D ,20,74.07407407407408,27,1200
2009,308,E ,16,59.25925925925926,27,110
2009,308,F ,20,74.07407407407408,27,1050
2010,308,A ,26,74.28571428571429,35,220
2010,308,B ,23,65.71428571428571,35,940
2010,308,C ,27,77.14285714285714,35,1050
2010,308,D ,19,54.285714285714285,35,1200
2010,308,E ,24,68.57142857142857,35,110
2011,308,A ,23,76.66666666666667,30,220
2011,308,B ,21,70.0,30,940
2011,308,C ,18,60.0,30,1050
2011,308,D ,25,83.33333333333333,30,1200
2011,308,E ,23,76.66666666666667,30,110
2011,308,F ,26,86.66666666666667,30,1050
2012,308,B ,18,51.42857142857143,35,940
2012,308,C ,22,62.857142857142854,35,1050
2012,308,D ,38,95.0,40,1200
2012,308,E ,30,85.71428571428571,35,110
2013,308,A ,29,82.85714285714286,35,220
2013,308,B ,21,60.0,35,940
2013,308,C ,15,50.0,30,1050
2013,308,D ,35,100.0,35,1200
2013,308,E ,33,94.28571428571429,35,110
2013,308,F ,32,91.42857142857143,35,1050
2014,308,A ,30,85.71428571428571,35,220
2014,308,B ,16,45.714285714285715,35,940
2014,308,C ,18,51.42857142857143,35,1050
2014,308,D ,31,88.57142857142857,35,1200
2014,308,E ,28,80.0,35,110
2015,308,A ,28,93.33333333333333,30,220
2015,308,B ,25,83.33333333333333,30,940
2015,308,C ,21,70.0,30,1050
2015,308,D ,27,90.0,30,1200
2015,308,E ,22,73.33333333333333,30,940
2015,308,F ,15,50.0,30,1050
2016,308,A ,29,82.85714285714286,35,220
2016,308,B ,25,71.42857142857143,35,940
2016,308,C ,30,85.71428571428571,35,1050
2016,308,D ,37,92.5,40,1200
2016,308,E ,15,42.857142857142854,35,940
2016,308,F ,18,51.42857142857143,35,1050
2017,308,A ,33,94.28571428571429,35,220
2017,308,B ,29,82.85714285714286,35,940
2017,308,C ,28,80.0,35,1050
2017,308,D ,34,97.14285714285714,35,1200
2017,308,E ,16,45.714285714285715,35,940
2017,308,F ,14,40.0,35,1050
2018,308,A ,33,94.28571428571429,35,220
2018,308,B ,28,80.0,35,940
2018,308,C ,33,94.28571428571429,35,1050
2018,308,D ,32,91.42857142857143,35,1200
2018,308,E ,21,60.0,35,940
2018,308,F ,23,65.71428571428571,35,1050
2008,309,A ,24,68.57142857142857,35,940
2009,309,A ,29,82.85714285714286,35,940
2010,309,A ,21,60.0,35,940
2010,309,B ,20,57.142857142857146,35,1200
2011,309,A ,21,60.0,35,940
2011,309,B ,33,94.28571428571429,35,1200
2011,309,C ,23,65.71428571428571,35,1050
2012,309,A ,12,34.285714285714285,35,940
2012,309,B ,23,65.71428571428571,35,1200
2012,309,C ,28,80.0,35,1050
2012,309,D ,25,71.42857142857143,35,1200
2013,309,A ,19,54.285714285714285,35,940
2013,309,B ,29,82.85714285714286,35,1200
2013,309,C ,28,80.0,35,1050
2013,309,D ,16,45.714285714285715,35,1200
2014,309,A ,12,34.285714285714285,35,940
2014,309,B ,24,68.57142857142857,35,1200
2014,309,C ,25,71.42857142857143,35,1050
2014,309,D ,17,48.57142857142857,35,1200
2015,309,A ,19,63.333333333333336,30,940
2015,309,B ,16,53.333333333333336,30,1200
2015,309,D ,26,86.66666666666667,30,1200
2016,309,A ,14,40.0,35,940
2016,309,B ,28,80.0,35,1200
2016,309,C ,19,54.285714285714285,35,1050
2017,309,A ,22,62.857142857142854,35,940
2017,309,B ,29,82.85714285714286,35,1200
2017,309,C ,13,37.142857142857146,35,1050
2018,309,A ,26,74.28571428571429,35,940
2018,309,B ,29,82.85714285714286,35,1200
2018,309,C ,10,28.571428571428573,35,1050
2008,324,A ,14,40.0,35,940
2008,324,B ,12,34.285714285714285,35,1050
2008,324,C ,25,71.42857142857143,35,1200
2008,324,D ,12,34.285714285714285,35,110
2009,324,A ,23,65.71428571428571,35,940
2009,324,B ,21,60.0,35,1050
2009,324,C ,26,74.28571428571429,35,1200
2009,324,D ,17,48.57142857142857,35,110
2010,324,A ,19,54.285714285714285,35,940
2010,324,B ,27,77.14285714285714,35,1050
2010,324,C ,30,85.71428571428571,35,1200
2010,324,D ,30,85.71428571428571,35,110
2011,324,A ,25,71.42857142857143,35,940
2011,324,B ,25,71.42857142857143,35,1050
2011,324,C ,26,74.28571428571429,35,1200
2011,324,D ,22,62.857142857142854,35,110
2012,324,A ,20,57.142857142857146,35,940
2012,324,B ,29,82.85714285714286,35,1050
2012,324,C ,27,77.14285714285714,35,1200
2012,324,D ,30,85.71428571428571,35,110
2013,324,A ,29,82.85714285714286,35,940
2013,324,B ,25,71.42857142857143,35,1050
2013,324,C ,30,85.71428571428571,35,1200
2013,324,D ,33,94.28571428571429,35,110
2014,324,A ,25,83.33333333333333,30,940
2014,324,B ,24,80.0,30,1050
2014,324,C ,23,76.66666666666667,30,1200
2014,324,D ,19,63.333333333333336,30,110
2015,324,A ,21,70.0,30,940
2015,324,B ,18,60.0,30,1050
2015,324,C ,30,100.0,30,1200
2015,324,D ,18,60.0,30,110
2016,324,A ,23,65.71428571428571,35,940
2016,324,B ,8,22.857142857142858,35,1050
2016,324,C ,23,65.71428571428571,35,1200
2016,324,D ,29,82.85714285714286,35,110
2017,324,A ,25,71.42857142857143,35,940
2017,324,C ,25,71.42857142857143,35,1200
2017,324,D ,29,82.85714285714286,35,110
2018,324,A ,29,82.85714285714286,35,940
2018,324,C ,23,65.71428571428571,35,1200
2018,324,D ,21,60.0,35,110
